word	language	count
그녀	ko	6391
잘	ko	6389
생활	ko	6371
시스템	ko	6368
비판	ko	6355
정보	ko	6332
국제	ko	6303
진행	ko	6284
성공	ko	6283
평가	ko	6276
네	ko	6276
세력	ko	6273
자리	ko	6236
시기	ko	6232
갖	ko	6211
기능	ko	6205
지구	ko	6164
제작	ko	6151
어야	ko	6150
배	ko	6129
우승	ko	6084
차지	ko	6083
인간	ko	6070
따라서	ko	6063
관하	ko	6051
인물	ko	6011
연결	ko	6008
정책	ko	5999
불	ko	5992
대신	ko	5985
즉	ko	5982
밝히	ko	5965
교회	ko	5955
나타나	ko	5921
컴퓨터	ko	5879
거의	ko	5861
단	ko	5794
좋	ko	5787
으로부터	ko	5774
이때	ko	5766
편	ko	5766
여성	ko	5762
이루	ko	5739
달	ko	5729
이론	ko	5704
수상	ko	5694
지금	ko	5687
해당	ko	5672
전체	ko	5648
축구	ko	5641
역할	ko	5639
열리	ko	5633
아래	ko	5622
반	ko	5622
제도	ko	5619
지내	ko	5616
기타	ko	5611
물	ko	5606
달리	ko	5594
열	ko	5551
직접	ko	5548
노	ko	5542
천	ko	5515
이탈리아	ko	5501
미	ko	5496
전하	ko	5492
유지	ko	5492
군사	ko	5488
회사	ko	5479
잇	ko	5472
표현	ko	5463
시절	ko	5461
잡	ko	5458
기간	ko	5456
생애	ko	5453
거치	ko	5437
재	ko	5434
오르	ko	5433
교황	ko	5413
들어가	ko	5408
노선	ko	5403
해	ko	5387
생산	ko	5363
역시	ko	5360
최고	ko	5343
치	ko	5339
가운데	ko	5338
비롯	ko	5334
각각	ko	5325
파	ko	5314
르	ko	5306
이끌	ko	5289
기준	ko	5267
소속	ko	5259
소	ko	5220
정의	ko	5213
입	ko	5201
상황	ko	5189
모습	ko	5189
산	ko	5168
떨어지	ko	5164
니	ko	5161
특징	ko	5160
차량	ko	5158
날	ko	5148
기원전	ko	5130
목적	ko	5129
사업	ko	5115
기본	ko	5114
제공	ko	5113
몇	ko	5109
규모	ko	5098
나타내	ko	5077
승리	ko	5068
종교	ko	5054
종류	ko	5050
임명	ko	5050
영어	ko	5046
무	ko	5044
변화	ko	5036
현대	ko	5032
대상	ko	5027
학생	ko	5013
상대	ko	5004
참가	ko	4993
보통	ko	4977
층	ko	4974
이란	ko	4969
과학	ko	4968
만나	ko	4962
동시	ko	4942
끝	ko	4939
마지막	ko	4931
이야기	ko	4927
어떤	ko	4925
판	ko	4921
공화국	ko	4917
자유	ko	4916
기관	ko	4915
일으키	ko	4910
측	ko	4906
배우	ko	4894
탄생	ko	4891
민족	ko	4876
추가	ko	4873
요구	ko	4861
건설	ko	4854
결혼	ko	4847
경	ko	4846
서로	ko	4825
관리	ko	4818
그것	ko	4803
도쿄	ko	4799
졸업	ko	4796
선거	ko	4773
겠	ko	4773
중앙	ko	4770
거리	ko	4759
기독교	ko	4758
여	ko	4755
양	ko	4733
철도	ko	4726
카	ko	4725
형성	ko	4715
도입	ko	4709
단체	ko	4704
참고	ko	4683
책	ko	4674
비슷	ko	4674
억	ko	4666
대학교	ko	4665
대전	ko	4658
국	ko	4643
혹은	ko	4624
없이	ko	4622
원래	ko	4619
분야	ko	4617
체제	ko	4600
운행	ko	4600
앞	ko	4591
출연	ko	4588
주변	ko	4583
막	ko	4565
다르	ko	4560
명칭	ko	4552
종	ko	4543
이어	ko	4508
우리	ko	4502
문자	ko	4496
소련	ko	4492
삼	ko	4489
강하	ko	4463
내리	ko	4444
지나	ko	4439
제외	ko	4433
교수	ko	4409
진출	ko	4391
나가	ko	4385
산업	ko	4379
공	ko	4364
사상	ko	4346
지배	ko	4339
문	ko	4334
인정	ko	4323
참	ko	4321
정	ko	4315
고려	ko	4310
인기	ko	4288
끝나	ko	4287
바꾸	ko	4286
군대	ko	4285
버리	ko	4283
가리키	ko	4270
드	ko	4268
국민	ko	4266
낮	ko	4263
시리즈	ko	4253
전통	ko	4248
설명	ko	4234
그리	ko	4214
최근	ko	4213
이런	ko	4202
려	ko	4195
병	ko	4190
